model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
logistic_regression,overall,"c - {'penalty': 'l1', 'C': 100000000.0, 'solver': 'liblinear', 'random_state': 42}",ABU50,145,132,89,78,143,130,91,80,0.6196581196581197,0.6502242152466368,0.6345733041575493,0.6238738738738738,0.6111111111111112,0.6412556053811659,0.6258205689277899,0.6148648648648649,0.6236166007905138,0.6145256916996047,-0.0085470085470085,-0.0089686098654708,-0.0087527352297593,-0.0090090090090089,-0.0090909090909091,exp1-Kendals-ABU50-smote,True
randomForest_classifier,overall,"c - {'criterion': 'entropy', 'random_state': 42, 'n_estimators': 10, 'max_features': 0.5, 'max_depth': 7}",BD50,51,241,117,35,46,234,124,40,0.3035714285714285,0.5930232558139535,0.4015748031496063,0.6576576576576577,0.2705882352941176,0.5348837209302325,0.3593749999999999,0.6306306306306306,0.6331547619047619,0.5934920634920634,-0.0329831932773109,-0.058139534883721,-0.0421998031496063,-0.027027027027027,-0.0396626984126985,exp1-Kendals-BD50-smote,True
SVC,overall,"c - {'kernel': 'rbf', 'random_state': 42, 'C': 1}",PBU,189,73,62,120,188,73,62,121,0.7529880478087649,0.6116504854368932,0.675,0.5900900900900901,0.752,0.6084142394822006,0.6726296958855098,0.5878378378378378,0.5776113671274962,0.5759984639016897,-0.0009880478087649,-0.0032362459546925,-0.0023703041144902,-0.0022522522522522,-0.0016129032258064,exp1-Kendals-PBU-smote,True
